run,runId,attemptId,tenantIdHash,onboardingStartedAt,saleReadyFirstAt,firstSuccessfulSaleAt,activatedAt,clockConfidence,ttfssMs,timeToSaleReadyMs,saleReadyToFirstSaleMs,activationResult,verificationTicketIdHash,firstSaleClaimEventIdHash,measurementEligible,acceptanceReleaseId,notes
1,ONB1.10F-Q80-1789922821853-setup,0a1d6271-5bfa-48d8-8bba-09fc61cc6f66,931a4a589c7f7654480ee73fcf453db3,2026-09-20 10:47:03.668-06,2026-09-20 10:47:04.255-06,2026-09-20 10:47:04.568-06,2026-09-20 10:47:09.033-06,ANCHORED,900,587,313,PASS,ec2822b95684c5d8856f529e9d0bd834,aeef33ab16ef03b9ace8b6d0ac79aea7f695e7c188e871acce740a2f4dce3fbf,true,fp-acceptance-6b15d8a,10/10 checks PASS
2,ONB1.10F-Q80-1789922928590-setup,d5fc99b0-52ff-4fad-a7bb-9679576b4a46,671d3b1473cb06fe451724823b13ca19,2026-09-20 10:48:50.412-06,2026-09-20 10:48:51.002-06,2026-09-20 10:48:51.342-06,2026-09-20 10:48:55.940-06,ANCHORED,930,590,340,PASS,7cad799688a1e304a6493381457620a6,6ba4ebcbb7f993ebf1140e0007986f7c6916f196031c43730960f0779ae5bc73,true,fp-acceptance-6b15d8a,10/10 checks PASS
3,ONB1.10F-Q80-1789923030303-setup,c0fe3d60-a2d0-493a-bb86-d111df17f371,8b9b585a06c069ccfd2845ce434f81e2,2026-09-20 10:50:32.115-06,2026-09-20 10:50:32.742-06,2026-09-20 10:50:33.051-06,2026-09-20 10:50:37.623-06,ANCHORED,936,627,309,PASS,606143611bfe91dfffdcb5220063a948,2836de2dd2eeac499d0efd99d11117fdeb68d19aaf2a9cf7c368b2357104b574,true,fp-acceptance-6b15d8a,10/10 checks PASS
4,ONB1.10F-Q80-1789923141666-setup,a030ac2e-2552-4052-905d-fd77c09aedee,2a49a9b4aee442c0e8d569ad2cca6b73,2026-09-20 10:52:23.463-06,2026-09-20 10:52:24.096-06,2026-09-20 10:52:24.410-06,2026-09-20 10:52:29.031-06,ANCHORED,947,633,314,PASS,6b3c3b8c09e82399fd6edb859e36a77b,1483d4ad5882507dde8b744c2e1337f2ca06e2a03d38ec2a66b1b3a35bf1ad14,true,fp-acceptance-6b15d8a,10/10 checks PASS
5,ONB1.10F-Q80-1789923239703-setup,f48f9419-b4d2-4dbb-a8f3-08d578fedacf,bf31d5bde8822e1860df9efd927a0880,2026-09-20 10:54:01.554-06,2026-09-20 10:54:02.102-06,2026-09-20 10:54:02.420-06,2026-09-20 10:54:07.081-06,ANCHORED,866,548,318,PASS,8aa1f6feb10958f6e86fd4c16eb4e8b4,ac006059fcecac55c07cfcedf0f178933b3539f5543ecc50152df4761d7a1cb1,true,fp-acceptance-6b15d8a,10/10 checks PASS
